1.4: Copy to Dataset Results,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Mean (T0S1R1) (mV)
53115-T199-CA1-0006.abf,4,34.8211,0.395868
53115-T208-Sub-0018.abf,4,34.8211,0.045119
53117-T218-CA1-0007.abf,4,34.8211,0.505041
53117-T220-Sub-0016.abf,4,34.8211,0.102064
53117-T223-CA1-0025.abf,4,34.8211,-0.408557
53119-T209-CA1-0006.abf,4,34.8211,0.22657
53119-T211-Sub-0015.abf,4,34.8211,-0.736391
53119-T212-Sub-0006.abf,4,34.8211,-0.252829
53119-T214-Sub-0017.abf,4,34.8211,-1.66629
53123-T225-Sub-0006.abf,4,34.8211,-0.648595
53123-T226-CA1-0015.abf,4,34.8211,0.524038
53123-T227-Sub-0028.abf,4,34.8211,-0.463401
53126-T230-Sub-0009.abf,4,34.8211,1.87889
53126-T232-Sub-0025.abf,4,34.8211,0.599627
53126-T234-Sub-0038.abf,4,34.8211,-1.10296
53127-T237-CA1-0006.abf,4,34.8211,0.668659
53127-T240-Sub-0015.abf,4,34.8211,0.114079
53127-T243-Sub-0026.abf,4,34.8211,-0.0492873
53129-T246-Sub-0018.abf,4,34.8211,-1.12973
53173-T182-CA1-0005.abf,4,34.8211,-0.558014
53173-T184-Sub-0020.abf,4,34.8211,-0.34743
53174-T157-CA1-0012.abf,4,34.8211,-1.02884
53174-T158-Sub-0021.abf,4,34.8211,0.361874
53174-T160-Sub-0029.abf,4,34.8211,0.288473
53178-T161-CA1-0006.abf,4,34.8211,0.377193
53178-T162-Sub-0021.abf,4,34.8211,0.00806032
53186-T168-CA1-0010.abf,4,34.8211,-0.132196
53186-T170-Sub-0024.abf,4,34.8211,0.217917
53186-T172-CA1-0033.abf,4,34.8211,0.850498
53195-T173-Sub-0005.abf,4,34.8211,-0.377366
53195-T174-CA1-0013.abf,4,34.8211,-0.0626078
53196-T175-CA1-0006.abf,4,34.8211,0.65646
53203-T176-Sub-0008.abf,4,34.8211,-0.223358
53469-T110-CA1-0006.abf,4,34.8211,0.640044
53470-T111-Sub-0006.abf,4,34.8211,0.499575
53470-T112-CA1-0016.abf,4,34.8211,-0.529969
53474-T116-Sub-0006.abf,4,34.8211,0.450634
53475-T120-CA1-0006.abf,4,34.8211,-0.543081
53475-T121-Sub-0017.abf,4,34.8211,-0.445686
53479-T129-Sub-0006.abf,4,34.8211,0.647326
53614-T144-Sub-0007.abf,4,34.8211,0.0194593
53616-T154-Sub-0016.abf,4,34.8211,-0.178214
54229-T122-Sub-0010.abf,4,34.8211,0.570908
54229-T124-Sub-0023.abf,4,34.8211,0.606881
54229-T128-CA1-0031.abf,4,34.8211,0.258669
54234-T133-Sub-0011.abf,4,34.8211,-0.393017
54238-T135-Sub-0006.abf,4,34.8211,-1.24191
54240-T140-CA1-0012.abf,4,34.8211,-0.65995
57446-T256-Sub-0006.abf,4,34.8211,0.742692
57446-T257-Sub-0017.abf,4,34.8211,-0.281995
57449-T258-Sub-0011.abf,4,34.8211,0.543817
57452-T265-Sub-0027.abf,4,34.8211,0.0647221
57454-T267-Sub-0018.abf,4,34.8211,1.49116
57455-T270-Sub-0009.abf,4,34.8211,0.221187
57932-T191-CA1-0008.abf,4,34.8211,0.265569
57933-T195-Sub-0018.abf,4,34.8211,-0.0473307
57944-T251-Sub-0025.abf,4,34.8211,0.0917957
57944-T253-Sub-0034.abf,4,34.8211,-0.576114
57944-T255-Sub (probably not sub)-0046.abf,4,34.8211,-1.78132
57944-T301-Sub-0013.abf,4,34.8211,-0.693306
53206-T307-Sub-0008.abf,4,34.8211,0.501465
53206-T308-CA1-0018.abf,4,34.8211,0.164454
53208-T309-Sub-0007.abf,4,34.8211,-0.101631
53208-T310-Sub-0017.abf,4,34.8211,0.527865
53208-T311-CA1-0027.abf,4,34.8211,0.557971
53208-T312-Sub-0037.abf,4,34.8211,0.387057
53209-T313-CA1-0008.abf,4,34.8211,0.116399
53209-T314-Sub-0017.abf,4,34.8211,-1.96756
53209-T315-CA1-0027.abf,4,34.8211,0.0980321
53456-T94-Sub-0008.abf,4,34.8211,0.450435
53458-T95-CA1-0006.abf,4,34.8211,0.750887
53458-T96-CA1-0016.abf,4,34.8211,-0.51982
53463-T105-CA1-0007.abf,4,34.8211,0.489995
53463-T106-Sub-0025.abf,4,34.8211,-0.27946
53464-T107-Sub-0007.abf,4,34.8211,0.317016
57457-T274-CA1-0006.abf,4,34.8211,-1.05584
57457-T277-CA1 (DG)-0015.abf,4,34.8211,0.41554
57459-T279-Sub-0007.abf,4,34.8211,0.161726
57459-T280-Sub-0016.abf,4,34.8211,-2.32758
57459-T281-Sub-0025.abf,4,34.8211,-0.863696
57460-T306-Sub-0010.abf,4,34.8211,0.0179574
57461-T282-Sub-0006.abf,4,34.8211,0.192853
57461-T283-Sub-0015.abf,4,34.8211,0.12196
57461-T284-Sub-0024.abf,4,34.8211,-0.228419
57461-T285-Sub-0033.abf,4,34.8211,0.613234
57464-T201-Sub-0026.abf,4,34.8211,-0.576867
57464-T286-Sub-0006.abf,4,34.8211,0.483163
57464-T294-Sub-0035.abf,4,34.8211,-0.586762
57465-T297-Sub-0009.abf,4,34.8211,0.546512
57465-T298-CA1-0019.abf,4,34.8211,-0.360003
57465-T299-Sub-0030.abf,4,34.8211,-0.427633
57465-T300-CA1-0040.abf,4,34.8211,0.188373
58513-T317-Sub-0008.abf,4,34.8211,0.167911
58513-T318-CA1-0017.abf,4,34.8211,-0.110889
58514-T320-CA1-0007.abf,4,34.8211,0.400037
58514-T322-Sub-0016.abf,4,34.8211,-0.127286
58515-T323-CA1-0006.abf,4,34.8211,0.268343
58515-T324-Sub-0016.abf,4,34.8211,0.226189
58517-T325-Sub-0006.abf,4,34.8211,0.16685
58517-T326-Sub-0015.abf,4,34.8211,-0.747002
58518-T327-CA1-0007.abf,4,34.8211,0.283928
58518-T331-Sub-0015.abf,4,34.8211,-0.474198
58518-T331-Sub-0016.abf,4,34.8211,-0.654728
58518-T333-CA1-0025.abf,4,34.8211,-0.114985
58518-T335-Sub-0034.abf,4,34.8211,0.343523
58520-T336-Sub-0007.abf,4,34.8211,-0.355276
58525-T338-CA1-0006.abf,4,34.8211,-0.132739
58525-T339-Sub-0026.abf,4,34.8211,0.0477983
58525-T340-CA1-0035.abf,4,34.8211,0.44016
58525-T341-Sub-0043.abf,4,34.8211,0.280616
58526-T342-Sub-0008.abf,4,34.8211,0.500741
58526-T343-Sub-0020.abf,4,34.8211,1.00486
58526-T344-Sub-0029.abf,4,34.8211,0.46788
61064-T350-CA1-0006.abf,4,34.8211,0.210708
61603-T368-Sub-0006.abf,4,34.8211,-0.118055
61603-T369-CA1-0006.abf,4,34.8211,0.86694
61606-T352-Sub-0006.abf,4,34.8211,0.250726
61606-T354-CA1-0006.abf,4,34.8211,0.0821926
61608-T370-Sub-0008.abf,4,34.8211,-0.939152
61608-T371-Sub-0006.abf,4,34.8211,-0.871575
61611-T364-Sub-0007.abf,4,34.8211,-0.182466
61611-T365-Sub-0007.abf,4,34.8211,0.302663
61611-T367-CA1-0006.abf,4,34.8211,0.720398
62127-T349-Sub-0006.abf,4,34.8211,-1.83612
53455-T92-CA1-0007.abf,4,34.8211,0.0150023
53455-T93-SUB-0017.abf,4,34.8211,0.209606
53459-T100-SUB-0037.abf,4,34.8211,0.0127745
53459-T97-CA1-0006.abf,4,34.8211,0.33276
53459-T98-SUB-0017.abf,4,34.8211,0.258969
53459-T99-CA1-0027.abf,4,34.8211,-0.905111
53460-T101-CA1-0008.abf,4,34.8211,0.592053
53460-T102-SUB-0027.abf,4,34.8211,0.308034
53460-T103-SUB-0039.abf,4,34.8211,0.475888
53460-T104-CA1-0051.abf,4,34.8211,-0.851088
53466-T108-CA1-0006.abf,4,34.8211,0.141654
53466-T109-CA1-0021.abf,4,34.8211,0.600437
54241-T76-CA1-0006.abf,4,34.8211,-0.566349
54241-T77-SUB-0016.abf,4,34.8211,0.28748
54242-T78-CA1-0026.abf,4,34.8211,-0.83252
54244-T79-SUB-0008.abf,4,34.8211,0.454332
54249-T80-CA1-0007.abf,4,34.8211,1.41218
54252-T81-SUB-0007.abf,4,34.8211,-0.459067
54253-T82-CA1-0019.abf,4,34.8211,-0.405656
54255-T83-SUB-0008.abf,4,34.8211,-0.364183
54255-T84-CA1-0025.abf,4,34.8211,-0.738559
54258-T85-CA1-0008.abf,4,34.8211,1.60351
54259-T86-SUB-0008.abf,4,34.8211,0.298616
54262-T87-CA1-0006.abf,4,34.8211,-2.29554
54264-T88-SUB-0006.abf,4,34.8211,-0.466133
54265-T89-CA1-0008.abf,4,34.8211,-0.773367
54265-T90-SUB-0019.abf,4,34.8211,-0.436356
54265-T91-SUB-0030.abf,4,34.8211,-0.108582
53116-T198-CA1-0006.abf,4,34.8211,-0.610601
53116-T200-SUB-0016.abf,4,34.8211,0.392997
53116-T202-SUB-0026.abf,4,34.8211,-0.730781
53118-T203-SUB-0011.abf,4,34.8211,0.561785
53118-T204-SUB-0021.abf,4,34.8211,0.61811
53118-T205-CA1-0032.abf,4,34.8211,0.330211
53118-T206-CA1-0044.abf,4,34.8211,-0.0363115
53118-T207-CA1-0058.abf,4,34.8211,0.505122
53120-T210-SUB-0006.abf,4,34.8211,-0.454128
53120-T213-CA1-0040.abf,4,34.8211,0.707292
53120-T215-CA1-0024.abf,4,34.8211,0.117534
53120-T216-SUB-0034.abf,4,34.8211,0.634381
53122-T217-SUB-0006.abf,4,34.8211,-0.200087
53122-T219-CA1-0016.abf,4,34.8211,-2.05077
53122-T221-SUB-0030.abf,4,34.8211,0.952953
53122-T222-SUB-0040.abf,4,34.8211,0.0365825
53122-T224-CA1-0052.abf,4,34.8211,0.0672972
53124-T228-CA1-0012.abf,4,34.8211,-0.179638
53125-T229-CA1-0009.abf,4,34.8211,0.320333
53125-T231-SUB-0016.abf,4,34.8211,0.080969
53125-T233-CA1-0026.abf,4,34.8211,-0.203646
53125-T235-CA1-0036.abf,4,34.8211,-0.565098
53125-T236-SUB-0046.abf,4,34.8211,0.485232
53125-T238-SUB-0056.abf,4,34.8211,0.420557
53128-T239-SUB-0006.abf,4,34.8211,-0.259692
53128-T241-CA1-0017.abf,4,34.8211,-0.967614
53128-T242-SUB-0027.abf,4,34.8211,0.534431
53128-T244-CA1-0006.abf,4,34.8211,-0.723554
53128-T245-SUB-0016.abf,4,34.8211,0.631143
53177-T156-CA1-0007.abf,4,34.8211,0.297609
53177-T158-SUB-0017.abf,4,34.8211,-0.339241
53177-T159-SUB-0027.abf,4,34.8211,0.185072
53180-T164-SUB-0006.abf,4,34.8211,0.226297
53180-T165-SUB-0018.abf,4,34.8211,-0.331289
53180-T166-CA1-0028.abf,4,34.8211,-1.47777
53185-T167-SUB-0015.abf,4,34.8211,-0.367933
53185-T169-CA1-0030.abf,4,34.8211,-0.277377
53199-T171-CA1-0007.abf,4,34.8211,1.08823
53199-T177-SUB-0018.abf,4,34.8211,0.0220125
53199-T178-CA1-0006.abf,4,34.8211,-0.975828
53199-T179-SUB-0016.abf,4,34.8211,-0.845338
53202-T180-CA1-0014.abf,4,34.8211,-0.140731
53202-T181-SUB-0042.abf,4,34.8211,0.568657
53446-T153-CA1-0006.abf,4,34.8211,0.147073
53446-T155-SUB-0021.abf,4,34.8211,-0.239348
54237-T149-CA1-0006.abf,4,34.8211,-1.45796
54237-T150-SUB-0018.abf,4,34.8211,-0.870197
54237-T151-SUB-0028.abf,4,34.8211,-1.08163
54237-T152-CA1-0042.abf,4,34.8211,-0.296072
57443-T247-SUB-0034.abf,4,34.8211,0.459182
57443-T248-SUB-0044.abf,4,34.8211,0.638293
57443-T249-CA1-0054.abf,4,34.8211,1.07251
57445-T250-SUB-0008.abf,4,34.8211,-0.0756096
57445-T252-CA1-0018.abf,4,34.8211,-1.13394
57445-T254-SUB-0032.abf,4,34.8211,-0.250479
57451-T262-SUB-0006.abf,4,34.8211,-1.77244
57451-T264-SUB-0016.abf,4,34.8211,-0.684595
57451-T266-CA1-0028.abf,4,34.8211,-1.10056
57453-T268-SUB-0006.abf,4,34.8211,-0.540356
57453-T269-SUB-0026.abf,4,34.8211,0.328394
57456-T272-SUB-0007.abf,4,34.8211,-0.0381035
57458-T273-CA1-0006.abf,4,34.8211,-0.251886
57458-T275-CA1-0018.abf,4,34.8211,0.0365407
57458-T276-SUB-0031.abf,4,34.8211,0.612374
57458-T278-SUB-0041.abf,4,34.8211,-0.0310853
57462-T287-SUB-0008.abf,4,34.8211,-0.600947
57462-T288-CA1-0020.abf,4,34.8211,-0.769636
57462-T289-SUB-0031.abf,4,34.8211,-0.80196
57462-T290-CA1-0041.abf,4,34.8211,0.0420368
57462-T291-CA1-0052.abf,4,34.8211,0.525626
57462-T292-SUB-0063.abf,4,34.8211,-0.249749
57463-T293-CA1-0006.abf,4,34.8211,-0.851659
57463-T295-SUB-0017.abf,4,34.8211,0.113331
57463-T296-SUB-0031.abf,4,34.8211,-0.133042
57468-T303-SUB-0021.abf,4,34.8211,0.63384
57468-T304-CA1-0031.abf,4,34.8211,0.199123
57468-T305-CA1-0042.abf,4,34.8211,-0.851136
57590-T259-CA1-0016.abf,4,34.8211,-0.319221
57590-T260-SUB-0030.abf,4,34.8211,0.350127
57590-T261-CA1-0059.abf,4,34.8211,-2.94685
57930-T185-CA1-0006.abf,4,34.8211,-0.0533006
57930-T186-SUB-0017.abf,4,34.8211,-0.205077
57930-T187-CA1-0027.abf,4,34.8211,0.430826
57930-T188-SUB-0037.abf,4,34.8211,0.000426324
57930-T189-SUB-0047.abf,4,34.8211,-1.48799
57931-T190-CA1-0006.abf,4,34.8211,-0.0714211
57931-T192-SUB-0016.abf,4,34.8211,-0.21948
57931-T193-CA1-0050.abf,4,34.8211,-0.584294
57931-T194-SUB-0041.abf,4,34.8211,0.850997
57934-T196-SUB-0006.abf,4,34.8211,0.173352
57934-T197-CA1-0016.abf,4,34.8211,-1.04857
58512-T316-SUB-0018.abf,4,34.8211,0.366731
58512-T319-CA1-0028.abf,4,34.8211,0.342833
58512-T321-CA1-0039.abf,4,34.8211,-0.680658
58516-T328-SUB-0007.abf,4,34.8211,0.144534
58516-T329-CA1-0024.abf,4,34.8211,-0.549113
58519-T330-SUB-0006.abf,4,34.8211,-1.14173
58519-T332-CA1-0019.abf,4,34.8211,-0.119153
58519-T334-CA1-0028.abf,4,34.8211,0.314421
58521-T337-SUB-0006.abf,4,34.8211,-0.337735
58521-T345-CA1-0016.abf,4,34.8211,0.228919
58521-T346-SUB-0026.abf,4,34.8211,-0.202443
58521-T347-SUB-0036.abf,4,34.8211,-0.78164
58521-T348-CA1-0046.abf,4,34.8211,0.360963
53451-T145-CA1-0010.abf,4,34.8211,-0.00925377
53454-T146-CA1-0006.abf,4,34.8211,-0.591333
53454-T147-SUB-0016.abf,4,34.8211,-0.836358
53454-T148-CA1-0026.abf,4,34.8211,0.189515
53471-T113-CA1-0012.abf,4,34.8211,0.291221
53472-T114-SUB-0011.abf,4,34.8211,0.338895
53472-T115-CA1-0022.abf,4,34.8211,0.245142
53472-T117-SUB-0032.abf,4,34.8211,0.288003
53472-T118-CA1-0042.abf,4,34.8211,0.476245
53472-T119-CA1-0052.abf,4,34.8211,0.207524
53477-T123-SUB-0006.abf,4,34.8211,-0.424939
53477-T125-SUB-0016.abf,4,34.8211,0.650268
53478-T126-CA1-0028.abf,4,34.8211,-0.650122
53478-T127-SUB-0038.abf,4,34.8211,0.437054
53612-T141-CA1-0008.abf,4,34.8211,0.655602
53612-T142-SUB-0020.abf,4,34.8211,-0.0584135
53612-T143-SUB-0031.abf,4,34.8211,-0.568446
54232-T130-CA1-0015.abf,4,34.8211,-0.529089
54232-T131-SUB-0025.abf,4,34.8211,-1.14743
54233-T132-CA1-0006.abf,4,34.8211,-2.91601
54233-T134-SUB-0016.abf,4,34.8211,0.388525
54235-T136-CA1-0030.abf,4,34.8211,-0.351899
54235-T137-SUB-0040.abf,4,34.8211,-0.291912
54235-T138-CA1-0051.abf,4,34.8211,-0.618476
54235-T139-SUB-0061.abf,4,34.8211,-0.48359
61605-T351-SUB-0016.abf,4,34.8211,0.254196
61605-T353-SUB-0026.abf,4,34.8211,-0.583681
61607-T355-CA1-0006.abf,4,34.8211,-0.609607
61607-T356-SUB-0020.abf,4,34.8211,-0.688833
61607-T357-CA1-0039.abf,4,34.8211,-0.303482
61609-T358-SUB-0008.abf,4,34.8211,-2.24182
61609-T359-CA1-0035.abf,4,34.8211,0.317946
61609-T360-SUB-0045.abf,4,34.8211,-1.47408
61610-T361-CA1-0006.abf,4,34.8211,0.697612
61610-T362-SUB-0016.abf,4,34.8211,0.888225
61610-T363-SUB-0026.abf,4,34.8211,0.444587
61612-T365-CA1-0010.abf,4,34.8211,-2.04932
61612-T372-SUB-0021.abf,4,34.8211,-0.00257615
61612-T373-SUB-0037.abf,4,34.8211,0.552754
61615-T374-CA1-0006.abf,4,34.8211,0.658673
61615-T375-SUB-0016.abf,4,34.8211,0.442743
61615-T376-CA1-0033.abf,4,34.8211,-0.798387
61615-T377-SUB-0046.abf,4,34.8211,0.305855
61615-T378-SUB-0056.abf,4,34.8211,-0.0349392
63963-T411-CA1-0007.abf,4,34.8211,0.127317
63963-T412-CA1-0021.abf,4,34.8211,0.353556
63963-T413-SUB-0029.abf,4,34.8211,1.47687
63963-T414-SUB-0039.abf,4,34.8211,0.0859211
63963-T415-SUB-0049.abf,4,34.8211,0.315874
63964-T416-SUB-0014.abf,4,34.8211,0.407251
63964-T417-SUB-0024.abf,4,34.8211,0.452309
63964-T418-SUB-0040.abf,4,34.8211,0.818548
63964-T419-CA1-0050.abf,4,34.8211,0.576188
63965-T420-CA1-0006.abf,4,34.8211,0.608078
63965-T421-CA1-0018.abf,4,34.8211,0.563316
63965-T422-SUB-0034.abf,4,34.8211,0.61663
63965-T423-SUB-0045.abf,4,34.8211,1.16366
63965-T424-CA1-0055.abf,4,34.8211,0.779066
63966-T425-SUB-0009.abf,4,34.8211,0.871038
63966-T426-CA1-0022.abf,4,34.8211,1.02502
63966-T427-SUB-0037.abf,4,34.8211,0.757852
63966-T428-CA1-0048.abf,4,34.8211,-1.69384
63966-T429-SUB-0058.abf,4,34.8211,0.0259808
63967-T430-SUB-0006.abf,4,34.8211,0.956506
63967-T431-SUB-0019.abf,4,34.8211,0.440113
63967-T432-CA1-0034.abf,4,34.8211,0.531997
63967-T433-SUB-0049.abf,4,34.8211,-0.506568
63967-T434-CA1-0073.abf,4,34.8211,0.540799
63968-T435-CA1-0006.abf,4,34.8211,1.04123
63968-T436-CA1-0017.abf,4,34.8211,0.708984
63968-T437-SUB-0032.abf,4,34.8211,0.634658
63968-T438-SUB-0044.abf,4,34.8211,0.513561
63968-T439-SUB-0055.abf,4,34.8211,-0.622513
63969-T440-CA1-0006.abf,4,34.8211,0.404763
63969-T441-SUB-0019.abf,4,34.8211,0.657941
63969-T442-SUB-0033.abf,4,34.8211,-0.829681
63969-T443-CA1-0045.abf,4,34.8211,0.460432
63970-T445-CA1-0006.abf,4,34.8211,-0.665789
63970-T446-SUB-0016.abf,4,34.8211,1.02752
63970-T447-SUB-0026.abf,4,34.8211,0.218312
63970-T448-CA1-0036.abf,4,34.8211,0.477588
63970-T449-SUB-0050.abf,4,34.8211,0.219018
63970-T450-SUB-0060.abf,4,34.8211,0.505001
63971-T451-SUB-0018.abf,4,34.8211,-0.298294
63971-T452-CA1-0028.abf,4,34.8211,0.94262
63971-T453-SUB-0042.abf,4,34.8211,-0.888464
63971-T454-CA1-0052.abf,4,34.8211,-0.449324
63972-T455-SUB-0009.abf,4,34.8211,0.163022
63972-T456-SUB-0023.abf,4,34.8211,-0.819253
63972-T457-CA1-0039.abf,4,34.8211,0.492349
63973-T458-SUB-0012.abf,4,34.8211,-0.206367
63973-T459-SUB-0029.abf,4,34.8211,-0.646755
63973-T460-CA1-0039.abf,4,34.8211,0.444675
63973-T461-SUB-0049.abf,4,34.8211,-0.987462
63974-T462-SUB-0007.abf,4,34.8211,0.776692
63974-T463-CA1-0016.abf,4,34.8211,0.890611
63974-T464-SUB-0026.abf,4,34.8211,0.654463
63974-T465-CA1-0037.abf,4,34.8211,0.660195
63974-T466-SUB-0048.abf,4,34.8211,-0.500112
63975-T467-SUB-0011.abf,4,34.8211,0.783394
63975-T468-SUB-0021.abf,4,34.8211,0.728198
63975-T469-CA1-0032.abf,4,34.8211,0.708914
63975-T470-CA1-0047.abf,4,34.8211,-0.440555
63976-T471-CA1-0016.abf,4,34.8211,1.36833
63976-T472-SUB-0038.abf,4,34.8211,-0.150322
63976-T473-CA1-0048.abf,4,34.8211,-0.059235
63976-T474-SUB-0063.abf,4,34.8211,0.443648
