ID,Threshold Current
54241-T76-CA1-0004.abf,450
54241-T77-SUB-0014.abf,650
54242-T78-CA1-0024.abf,825
54244-T79-SUB-0006.abf,700
54249-T80-CA1-0004.abf,600
54252-T81-SUB-0005.abf,725
54253-T82-CA1-0017.abf,675
54255-T83-SUB-0006.abf,1075
54255-T84-CA1-0023.abf,850
54258-T85-CA1-0005.abf,650
54262-T87-CA1-0004.abf,850
54264-T88-SUB-0004.abf,825
54265-T89-CA1-0006.abf,800
54265-T90-SUB-0017.abf,475
54265-T91-SUB-0028.abf,700
53455-T92-CA1-0005.abf,375
53455-T93-SUB-0015.abf,675
53456-T94-Sub-0006.abf,1175
53458-T95-CA1-0004.abf,800
53458-T96-CA1-0014.abf,375
53459-T97-CA1-0004.abf,800
53459-T98-SUB-0015.abf,1150
53459-T99-CA1-0025.abf,725
53459-T100-SUB-0035.abf,775
53460-T101-CA1-0005.abf,500
53460-T102-SUB-0024.abf,1075
53460-T103-SUB-0035.abf,300
53460-T104-CA1-0049.abf,1175
53463-T105-CA1-0005.abf,750
53463-T106-Sub-0023.abf,550
53464-T107-Sub-0005.abf,1100
53466-T108-CA1-0004.abf,300
53466-T109-CA1-0019.abf,1825
53469-T110-CA1-0003.abf,650
53470-T111-Sub-0004.abf,425
53470-T112-CA1-0013.abf,300
53471-T113-CA1-0010.abf,575
53472-T114-SUB-0009.abf,675
53472-T115-CA1-0020.abf,925
53474-T116-Sub-0004.abf,700
53472-T117-SUB-0030.abf,775
53472-T118-CA1-0040.abf,625
53472-T119-CA1-0050.abf,600
53475-T120-CA1-0004.abf,500
53475-T121-Sub-0013.abf,375
54229-T122-Sub-0008.abf,300
53477-T123-SUB-0004.abf,500
54229-T124-Sub-0018.abf,650
53477-T125-SUB-0014.abf,900
53478-T126-CA1-0026.abf,350
53478-T127-SUB-0036.abf,800
54229-T128-CA1-0029.abf,400
53479-T129-Sub-0004.abf,750
54232-T130-CA1-0013.abf,650
54232-T131-SUB-0023.abf,875
54233-T132-CA1-0004.abf,625
54234-T133-Sub-0009.abf,300
54233-T134-SUB-0014.abf,800
54238-T135-Sub-0004.abf,300
54235-T136-CA1-0028.abf,475
54235-T137-SUB-0038.abf,625
54235-T138-CA1-0049.abf,750
54235-T139-SUB-0059.abf,925
54240-T140-CA1-0010.abf,550
53612-T141-CA1-0006.abf,675
53612-T142-SUB-0018.abf,700
53612-T143-SUB-0029.abf,675
53614-T144-Sub-0004.abf,550
53451-T145-CA1-0008.abf,375
53454-T146-CA1-0004.abf,525
53454-T147-SUB-0014.abf,825
53454-T148-CA1-0024.abf,725
54237-T149-CA1-0004.abf,425
54237-T150-SUB-0016.abf,1100
54237-T151-SUB-0026.abf,950
54237-T152-CA1-0040.abf,675
53446-T153-CA1-0004.abf,525
53616-T154-Sub-0014.abf,825
53446-T155-SUB-0019.abf,825
53177-T156-CA1-0005.abf,500
53174-T157-CA1-0010.abf,300
53174-T158-Sub-0019.abf,350
53177-T158-SUB-0015.abf,300
53177-T159-SUB-0025.abf,600
53174-T160-Sub-0027.abf,650
53178-T161-CA1-0004.abf,575
53178-T162-Sub-0019.abf,525
53183-T163-CA1-0006.abf,525
53180-T164-SUB-0004.abf,750
53180-T165-SUB-0016.abf,700
53180-T166-CA1-0026.abf,400
53185-T167-SUB-0013.abf,400
53186-T168-CA1-0008.abf,925
53185-T169-CA1-0028.abf,525
53186-T170-Sub-0021.abf,625
53199-T171-CA1-0005.abf,425
53186-T172-CA1-0031.abf,1175
53195-T173-Sub-0003.abf,300
53195-T174-CA1-0011.abf,650
53196-T175-CA1-0004.abf,575
53203-T176-Sub-0006.abf,425
53199-T177-SUB-0016.abf,725
53199-T178-CA1-0004.abf,575
53199-T179-SUB-0014.abf,450
53202-T180-CA1-0012.abf,500
53202-T181-SUB-0040.abf,550
53173-T182-CA1-0003.abf,575
53173-T183-Sub-0012.abf,475
53173-T184-Sub-0019.abf,300
57930-T185-CA1-0004.abf,450
57930-T186-SUB-0015.abf,750
57930-T187-CA1-0025.abf,525
57930-T188-SUB-0035.abf,675
57930-T189-SUB-0045.abf,400
57931-T190-CA1-0004.abf,300
57932-T191-CA1-0006.abf,1250
57931-T192-SUB-0014.abf,375
57931-T193-CA1-0048.abf,350
57931-T194-SUB-0039.abf,375
57933-T195-Sub-0016.abf,625
57934-T196-SUB-0004.abf,300
57934-T197-CA1-0014.abf,675
53116-T198-CA1-0004.abf,725
53115-T199-CA1-0004.abf,775
53116-T200-SUB-0014.abf,875
57464-T201-Sub-0024.abf,550
53116-T202-SUB-0024.abf,300
53118-T203-SUB-0009.abf,525
53118-T204-SUB-0019.abf,950
53118-T205-CA1-0030.abf,300
53118-T206-CA1-0042.abf,475
53118-T207-CA1-0056.abf,675
53115-T208-Sub-0014.abf,350
53119-T209-CA1-0004.abf,400
53120-T210-SUB-0004.abf,375
53119-T211-Sub-0013.abf,675
53119-T212-Sub-0004.abf,400
53120-T213-CA1-0038.abf,450
53119-T214-Sub-0014.abf,300
53120-T215-CA1-0022.abf,450
53120-T216-SUB-0032.abf,1000
53122-T217-SUB-0004.abf,475
53117-T218-CA1-0004.abf,475
53122-T219-CA1-0014.abf,625
53117-T220-Sub-0014.abf,525
53122-T221-SUB-0028.abf,425
53122-T222-SUB-0038.abf,375
53117-T223-CA1-0023.abf,575
53122-T224-CA1-0050.abf,575
53123-T225-Sub-0004.abf,300
53123-T226-CA1-0013.abf,950
53123-T227-Sub-0027.abf,750
53124-T228-CA1-0010.abf,425
53125-T229-CA1-0007.abf,425
53126-T230-Sub-0006.abf,425
53125-T231-SUB-0014.abf,475
53126-T232-Sub-0023.abf,975
53125-T233-CA1-0024.abf,300
53126-T234-Sub-0036.abf,650
53125-T235-CA1-0034.abf,500
53125-T236-SUB-0044.abf,675
53127-T237-CA1-0004.abf,575
53125-T238-SUB-0054.abf,625
53128-T239-SUB-0004.abf,300
53127-T240-Sub-0013.abf,500
53128-T241-CA1-0015.abf,300
53128-T242-SUB-0025.abf,600
53127-T243-Sub-0024.abf,650
53128-T244-CA1-0004.abf,400
53128-T245-SUB-0014.abf,425
53129-T246-Sub-0016.abf,425
57443-T247-SUB-0032.abf,325
57443-T248-SUB-0042.abf,450
57443-T249-CA1-0052.abf,625
57445-T250-SUB-0006.abf,800
57944-T251-Sub-0023.abf,875
57445-T252-CA1-0016.abf,425
57944-T253-Sub-0032.abf,1000
57445-T254-SUB-0029.abf,625
57944-T255-Sub (probably not sub)-0044.abf,1300
57446-T256-Sub-0004.abf,725
57446-T257-Sub-0015.abf,1000
57449-T258-Sub-0009.abf,500
57590-T259-CA1-0014.abf,375
57590-T260-SUB-0028.abf,875
57590-T261-CA1-0057.abf,450
57451-T262-SUB-0004.abf,300
57452-T263-Sub-0014.abf,900
57451-T264-SUB-0014.abf,675
57452-T265-Sub-0025.abf,800
57451-T266-CA1-0026.abf,650
57454-T267-Sub-0016.abf,600
57453-T268-SUB-0004.abf,300
57453-T269-SUB-0024.abf,300
57455-T270-Sub-0007.abf,475
57456-T272-SUB-0005.abf,300
57458-T273-CA1-0004.abf,300
57457-T274-CA1-0004.abf,600
57458-T275-CA1-0016.abf,300
57458-T276-SUB-0029.abf,325
57457-T277-CA1 (DG)-0013.abf,600
57458-T278-SUB-0039.abf,325
57459-T279-Sub-0005.abf,550
57459-T280-Sub-0014.abf,300
57459-T281-Sub-0023.abf,675
57461-T282-Sub-0004.abf,550
57461-T283-Sub-0013.abf,525
57461-T284-Sub-0022.abf,800
57461-T285-Sub-0031.abf,575
57464-T286-Sub-0004.abf,425
57462-T287-SUB-0006.abf,300
57462-T288-CA1-0018.abf,600
57462-T289-SUB-0029.abf,750
57462-T290-CA1-0039.abf,425
57462-T291-CA1-0050.abf,700
57462-T292-SUB-0061.abf,525
57463-T293-CA1-0004.abf,350
57464-T294-Sub-0033.abf,500
57463-T295-SUB-0015.abf,300
57463-T296-SUB-0029.abf,575
57465-T297-Sub-0007.abf,425
57465-T298-CA1-0017.abf,425
57465-T299-Sub-0028.abf,675
57465-T300-CA1-0038.abf,850
57944-T301-Sub-0011.abf,300
57468-T302-SUB-0008.abf,675
57468-T303-SUB-0019.abf,775
57468-T304-CA1-0029.abf,475
57468-T305-CA1-0040.abf,475
57460-T306-Sub-0008.abf,300
53206-T307-Sub-0006.abf,1225
53206-T308-CA1-0016.abf,375
53208-T309-Sub-0005.abf,1075
53208-T310-Sub-0015.abf,625
53208-T311-CA1-0025.abf,1100
53208-T312-Sub-0035.abf,675
53209-T313-CA1-0006.abf,1825
53209-T314-Sub-0015.abf,600
53209-T315-CA1-0025.abf,925
58512-T316-SUB-0016.abf,875
58513-T317-Sub-0006.abf,325
58513-T318-CA1-0015.abf,600
58512-T319-CA1-0026.abf,375
58514-T320-CA1-0005.abf,1175
58512-T321-CA1-0037.abf,750
58514-T322-Sub-0014.abf,550
58515-T323-CA1-0004.abf,1275
58515-T324-Sub-0014.abf,725
58517-T325-Sub-0004.abf,625
58517-T326-Sub-0013.abf,300
58518-T327-CA1-0005.abf,500
58516-T328-SUB-0005.abf,600
58516-T329-CA1-0022.abf,300
58519-T330-SUB-0004.abf,575
58518-T331-Sub-0014.abf,300
58519-T332-CA1-0017.abf,450
58518-T333-CA1-0023.abf,375
58519-T334-CA1-0026.abf,450
58518-T335-Sub-0032.abf,575
58520-T336-Sub-0012.abf,650
58521-T337-SUB-0004.abf,325
58525-T338-CA1-0004.abf,950
58525-T339-Sub-0024.abf,400
58525-T340-CA1-0033.abf,850
58525-T341-Sub-0041.abf,450
58526-T342-Sub-0006.abf,425
58526-T343-Sub-0018.abf,525
58526-T344-Sub-0027.abf,750
58521-T345-CA1-0014.abf,300
58521-T346-SUB-0024.abf,300
58521-T347-SUB-0034.abf,300
58521-T348-CA1-0044.abf,550
62127-T349-Sub-0004.abf,425
61064-T350-CA1-0004.abf,550
61606-T352-Sub-0004.abf,600
61606-T354-CA1-0004.abf,1425
61611-T364-Sub-0005.abf,325
61611-T365-Sub-0005.abf,475
61611-T367-CA1-0004.abf,400
61603-T368-Sub-0004.abf,300
61603-T369-CA1-0004.abf,475
61608-T370-Sub-0006.abf,425
61608-T371-Sub-0004.abf,300
61605-T351-SUB-0014-AP.abf,425
61605-T353-SUB-0024-AP.abf,950
61607-T355-CA1-0004-AP.abf,375
61607-T356-SUB-0018-AP.abf,775
61607-T357-CA1-0037-AP.abf,300
61609-T358-SUB-0006-AP.abf,300
61609-T359-CA1-0033-AP.abf,300
61609-T360-SUB-0043-AP.abf,400
61610-T361-CA1-0004-AP.abf,575
61610-T362-SUB-0014-AP.abf,725
61610-T363-SUB-0024-AP.abf,500
61612-T365-CA1-0007-AP.abf,300
61612-T372-SUB-0018-AP.abf,750
61612-T373-SUB-0035-AP.abf,675
61615-T374-CA1-0004-AP.abf,375
61615-T375-SUB-0014-AP.abf,350
61615-T376-CA1-0031-AP.abf,375
61615-T377-SUB-0044-AP.abf,350
61615-T378-SUB-0054-AP.abf,300
63963-T411-CA1-0005-AP.abf,300
63963-T412-CA1-0019-AP.abf,675
63963-T413-SUB-0027-AP.abf,450
63963-T414-SUB-0037-AP.abf,650
63963-T415-SUB-0047-AP.abf,625
63964-T416-SUB-0012-AP.abf,650
63964-T417-SUB-0028-AP.abf,1725
63964-T418-SUB-0038-AP.abf,925
63964-T419-CA1-0048-AP.abf,500
63965-T420-CA1-0004-AP.abf,525
63965-T421-CA1-0016-AP.abf,350
63965-T422-SUB-0032-AP.abf,875
63965-T423-SUB-0043-AP.abf,350
63965-T424-CA1-0053-AP.abf,550
63966-T425-SUB-0007-AP.abf,500
63966-T426-CA1-0020-AP.abf,600
63966-T427-SUB-0035-AP.abf,1275
63966-T428-CA1-0046-AP.abf,525
63966-T429-SUB-0056-AP.abf,575
63967-T430-SUB-0004-AP.abf,700
63967-T431-SUB-0017-AP.abf,850
63967-T432-CA1-0032-AP.abf,550
63967-T433-SUB-0047-AP.abf,825
63967-T434-CA1-0071-AP.abf,400
63968-T435-CA1-0004-AP.abf,325
63968-T436-CA1-0015-AP.abf,650
63968-T437-SUB-0030-AP.abf,950
63968-T438-SUB-0042-AP.abf,875
63968-T439-SUB-0052-AP.abf,925
63969-T440-CA1-0004-AP.abf,650
63969-T441-SUB-0017-AP.abf,600
63969-T442-SUB-0031-AP.abf,375
63969-T443-CA1-0043-AP.abf,525
63970-T445-CA1-0004-AP.abf,500
63970-T446-SUB-0014-AP.abf,825
63970-T447-SUB-0024-AP.abf,725
63970-T448-CA1-0034-AP.abf,475
63970-T449-SUB-0048-AP.abf,750
63970-T450-SUB-0058-AP.abf,575
63971-T451-SUB-0016-AP.abf,600
63971-T452-CA1-0026-AP.abf,1025
63971-T453-SUB-0040-AP.abf,775
63971-T454-CA1-0050-AP.abf,550
63972-T455-SUB-0007-AP.abf,1325
63972-T456-SUB-0021-AP.abf,550
63972-T457-CA1-0037-AP.abf,500
63973-T458-SUB-0010-AP.abf,350
63973-T459-SUB-0027-AP.abf,1150
63973-T460-CA1-0037-AP.abf,575
63973-T461-SUB-0047-AP.abf,875
63974-T462-SUB-0005-AP.abf,1125
63974-T463-CA1-0014-AP.abf,450
63974-T464-SUB-0024-AP.abf,550
63974-T465-CA1-0035-AP.abf,300
63974-T466-SUB-0046-AP.abf,1000
63975-T467-SUB-0009-AP.abf,800
63975-T468-SUB-0019-AP.abf,400
63975-T469-CA1-0030-AP.abf,700
63975-T470-CA1-0045-AP.abf,650
63976-T471-CA1-0008-AP.abf,2000
63976-T472-SUB-0036-AP.abf,625
63976-T473-CA1-0046-AP.abf,700
63976-T474-SUB-0061-AP.abf,975
